gene	gene_name	pvalue	n	n_indep	p_i_best	t_i_best	p_i_worst	t_i_worst	eigen_max	eigen_min	eigen_min_kept	z_min	z_max	z_mean	z_sd	tmi	status
ENSG00000162739.13	SLAMF6	0.030960824	2	1	0.030960824	mashr_Brain_Nucleus_accumbens_basal_ganglia	0.030960824	mashr_Brain_Nucleus_accumbens_basal_ganglia	2	3.35E-17	2	2.157575846	2.157575846	2.157575846	0	1	0
ENSG00000231500.6	RPS18	0.030972521	11	1	0.019342352	mashr_Brain_Anterior_cingulate_cortex_BA24	0.057787014	mashr_Brain_Amygdala	10.79968467	1.93E-17	10.79968467	1.897310164	2.338866348	2.137380154	0.202947061	1	0
ENSG00000138002.14	IFT172	0.03097443	10	1	0.029910723	mashr_Brain_Amygdala	0.512621058	mashr_Brain_Cortex	8.089279373	2.14E-21	8.089279373	-0.827160478	2.171270609	1.588824248	1.228576916	1	0
ENSG00000261701.6	HPR	0.030996829	11	1	0.025899	mashr_Brain_Caudate_basal_ganglia	0.901503422	mashr_Pituitary	9.995327945	8.83E-18	9.995327945	-2.227722883	2.127450943	-1.585202075	1.376092399	1	0
ENSG00000277142.1	LINC00235	0.031000182	11	1	0.000147462	mashr_Pituitary	0.90598031	mashr_Spleen	8.522083845	9.83E-18	8.522083845	0.11811024	3.795304911	1.885433654	0.981124569	1	0
ENSG00000158486.13	DNAH3	0.031023984	2	1	0.005897535	mashr_Pituitary	0.705907206	mashr_Brain_Caudate_basal_ganglia	1.053586863	0.946413137	1.053586863	-2.753424644	0.377358496	-1.188033074	2.213797989	1	0
ENSG00000100599.15	RIN3	0.031088254	10	1	6.06E-09	mashr_Brain_Putamen_basal_ganglia	0.050863265	mashr_Brain_Substantia_nigra	8.069074955	1.40E-33	8.069074955	-5.8150602	-1.952631593	-2.410149832	1.217152566	1	0
ENSG00000270160.1	RP11-264E20.2	0.031102164	1	1	0.031102164	mashr_Brain_Substantia_nigra	0.031102164	mashr_Brain_Substantia_nigra	1	1	1	2.155763149	2.155763149	2.155763149	NA	1	0
ENSG00000116745.6	RPE65	0.031102364	5	1	0.03842309	mashr_Brain_Cortex	0.047703527	mashr_Brain_Substantia_nigra	4.361017462	1.68E-18	4.361017462	1.980000019	2.0703125	2.016125011	0.049466183	1	0
ENSG00000169594.13	BNC1	0.03114292	1	1	0.03114292	mashr_Spleen	0.03114292	mashr_Spleen	1	1	1	2.155241769	2.155241769	2.155241769	NA	1	0
ENSG00000259459.5	RP11-321G12.1	0.031152747	10	1	0.000578981	mashr_Brain_Cortex	0.788169202	mashr_Brain_Amygdala	6.269051953	2.74E-05	6.269051953	-3.441274283	0.26868876	-1.698714732	1.225751189	1	0
